,region,category,language,type,count
70,Montréal,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_home,70
71,Montréal,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_work,0
72,Toronto,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_home,720
73,Toronto,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_work,245
74,Calgary,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_home,85
75,Calgary,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_work,25
76,Edmonton,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_home,190
77,Edmonton,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_work,85
78,Vancouver,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_home,300
79,Vancouver,Non-Official & Non-Aboriginal languages,American Sign Language,most_at_work,140
80,Montréal,Non-Official & Non-Aboriginal languages,Amharic,most_at_home,315
81,Montréal,Non-Official & Non-Aboriginal languages,Amharic,most_at_work,0
82,Toronto,Non-Official & Non-Aboriginal languages,Amharic,most_at_home,3820
83,Toronto,Non-Official & Non-Aboriginal languages,Amharic,most_at_work,55
84,Calgary,Non-Official & Non-Aboriginal languages,Amharic,most_at_home,2730
85,Calgary,Non-Official & Non-Aboriginal languages,Amharic,most_at_work,50
86,Edmonton,Non-Official & Non-Aboriginal languages,Amharic,most_at_home,1695
87,Edmonton,Non-Official & Non-Aboriginal languages,Amharic,most_at_work,35
88,Vancouver,Non-Official & Non-Aboriginal languages,Amharic,most_at_home,540
89,Vancouver,Non-Official & Non-Aboriginal languages,Amharic,most_at_work,10
90,Montréal,Non-Official & Non-Aboriginal languages,Arabic,most_at_home,72980
91,Montréal,Non-Official & Non-Aboriginal languages,Arabic,most_at_work,1590
92,Toronto,Non-Official & Non-Aboriginal languages,Arabic,most_at_home,45025
93,Toronto,Non-Official & Non-Aboriginal languages,Arabic,most_at_work,1165
94,Calgary,Non-Official & Non-Aboriginal languages,Arabic,most_at_home,11010
95,Calgary,Non-Official & Non-Aboriginal languages,Arabic,most_at_work,240
96,Edmonton,Non-Official & Non-Aboriginal languages,Arabic,most_at_home,10590
97,Edmonton,Non-Official & Non-Aboriginal languages,Arabic,most_at_work,325
98,Vancouver,Non-Official & Non-Aboriginal languages,Arabic,most_at_home,8680
99,Vancouver,Non-Official & Non-Aboriginal languages,Arabic,most_at_work,275
100,Montréal,Non-Official & Non-Aboriginal languages,Armenian,most_at_home,11835
101,Montréal,Non-Official & Non-Aboriginal languages,Armenian,most_at_work,280
102,Toronto,Non-Official & Non-Aboriginal languages,Armenian,most_at_home,7475
103,Toronto,Non-Official & Non-Aboriginal languages,Armenian,most_at_work,140
104,Calgary,Non-Official & Non-Aboriginal languages,Armenian,most_at_home,110
105,Calgary,Non-Official & Non-Aboriginal languages,Armenian,most_at_work,0
106,Edmonton,Non-Official & Non-Aboriginal languages,Armenian,most_at_home,75
107,Edmonton,Non-Official & Non-Aboriginal languages,Armenian,most_at_work,0
108,Vancouver,Non-Official & Non-Aboriginal languages,Armenian,most_at_home,505
109,Vancouver,Non-Official & Non-Aboriginal languages,Armenian,most_at_work,0
110,Montréal,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_home,95
111,Montréal,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_work,10
112,Toronto,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_home,6790
113,Toronto,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_work,110
114,Calgary,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_home,200
115,Calgary,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_work,10
116,Edmonton,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_home,40
117,Edmonton,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_work,0
118,Vancouver,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_home,400
119,Vancouver,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,most_at_work,25
120,Montréal,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_home,0
121,Montréal,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_work,0
122,Toronto,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_home,5
123,Toronto,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_work,0
124,Calgary,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_home,0
125,Calgary,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_work,0
126,Edmonton,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_home,0
127,Edmonton,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_work,0
128,Vancouver,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_home,0
129,Vancouver,Aboriginal languages,"Athabaskan languages, n.i.e.",most_at_work,0
130,Montréal,Aboriginal languages,Atikamekw,most_at_home,5
131,Montréal,Aboriginal languages,Atikamekw,most_at_work,0
132,Toronto,Aboriginal languages,Atikamekw,most_at_home,0
133,Toronto,Aboriginal languages,Atikamekw,most_at_work,0
134,Calgary,Aboriginal languages,Atikamekw,most_at_home,0
135,Calgary,Aboriginal languages,Atikamekw,most_at_work,0
136,Edmonton,Aboriginal languages,Atikamekw,most_at_home,0
137,Edmonton,Aboriginal languages,Atikamekw,most_at_work,0
138,Vancouver,Aboriginal languages,Atikamekw,most_at_home,0
139,Vancouver,Aboriginal languages,Atikamekw,most_at_work,0
140,Montréal,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_home,5
141,Montréal,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_work,0
142,Toronto,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_home,35
143,Toronto,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_work,0
144,Calgary,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_home,5
145,Calgary,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_work,0
146,Edmonton,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_home,0
147,Edmonton,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_work,0
148,Vancouver,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_home,15
149,Vancouver,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",most_at_work,0
150,Montréal,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_home,55
151,Montréal,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_work,10
152,Toronto,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_home,280
153,Toronto,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_work,10
154,Calgary,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_home,145
155,Calgary,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_work,0
156,Edmonton,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_home,85
157,Edmonton,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_work,0
158,Vancouver,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_home,260
159,Vancouver,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",most_at_work,20
160,Montréal,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_home,95
161,Montréal,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_work,10
162,Toronto,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_home,650
163,Toronto,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_work,15
164,Calgary,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_home,100
165,Calgary,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_work,0
166,Edmonton,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_home,50
167,Edmonton,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_work,0
168,Vancouver,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_home,185
169,Vancouver,Non-Official & Non-Aboriginal languages,Azerbaijani,most_at_work,10
170,Montréal,Aboriginal languages,Babine (Wetsuwet'en),most_at_home,0
171,Montréal,Aboriginal languages,Babine (Wetsuwet'en),most_at_work,0
172,Toronto,Aboriginal languages,Babine (Wetsuwet'en),most_at_home,0
173,Toronto,Aboriginal languages,Babine (Wetsuwet'en),most_at_work,0
174,Calgary,Aboriginal languages,Babine (Wetsuwet'en),most_at_home,0
175,Calgary,Aboriginal languages,Babine (Wetsuwet'en),most_at_work,0
176,Edmonton,Aboriginal languages,Babine (Wetsuwet'en),most_at_home,0
177,Edmonton,Aboriginal languages,Babine (Wetsuwet'en),most_at_work,0
178,Vancouver,Aboriginal languages,Babine (Wetsuwet'en),most_at_home,0
179,Vancouver,Aboriginal languages,Babine (Wetsuwet'en),most_at_work,0
180,Montréal,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_home,220
181,Montréal,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_work,10
182,Toronto,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_home,15
183,Toronto,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_work,0
184,Calgary,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_home,5
185,Calgary,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_work,0
186,Edmonton,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_home,0
187,Edmonton,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_work,0
188,Vancouver,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_home,5
189,Vancouver,Non-Official & Non-Aboriginal languages,Bamanankan,most_at_work,0
190,Montréal,Aboriginal languages,Beaver,most_at_home,0
191,Montréal,Aboriginal languages,Beaver,most_at_work,0
192,Toronto,Aboriginal languages,Beaver,most_at_home,0
193,Toronto,Aboriginal languages,Beaver,most_at_work,0
194,Calgary,Aboriginal languages,Beaver,most_at_home,0
195,Calgary,Aboriginal languages,Beaver,most_at_work,0
196,Edmonton,Aboriginal languages,Beaver,most_at_home,0
197,Edmonton,Aboriginal languages,Beaver,most_at_work,0
198,Vancouver,Aboriginal languages,Beaver,most_at_home,0
199,Vancouver,Aboriginal languages,Beaver,most_at_work,0
200,Montréal,Non-Official & Non-Aboriginal languages,Belarusan,most_at_home,20
201,Montréal,Non-Official & Non-Aboriginal languages,Belarusan,most_at_work,0
202,Toronto,Non-Official & Non-Aboriginal languages,Belarusan,most_at_home,125
203,Toronto,Non-Official & Non-Aboriginal languages,Belarusan,most_at_work,0
204,Calgary,Non-Official & Non-Aboriginal languages,Belarusan,most_at_home,0
205,Calgary,Non-Official & Non-Aboriginal languages,Belarusan,most_at_work,0
206,Edmonton,Non-Official & Non-Aboriginal languages,Belarusan,most_at_home,10
207,Edmonton,Non-Official & Non-Aboriginal languages,Belarusan,most_at_work,0
208,Vancouver,Non-Official & Non-Aboriginal languages,Belarusan,most_at_home,10
209,Vancouver,Non-Official & Non-Aboriginal languages,Belarusan,most_at_work,0
210,Montréal,Non-Official & Non-Aboriginal languages,Bengali,most_at_home,8080
211,Montréal,Non-Official & Non-Aboriginal languages,Bengali,most_at_work,105
212,Toronto,Non-Official & Non-Aboriginal languages,Bengali,most_at_home,24610
213,Toronto,Non-Official & Non-Aboriginal languages,Bengali,most_at_work,295
214,Calgary,Non-Official & Non-Aboriginal languages,Bengali,most_at_home,2750
215,Calgary,Non-Official & Non-Aboriginal languages,Bengali,most_at_work,15
216,Edmonton,Non-Official & Non-Aboriginal languages,Bengali,most_at_home,1460
217,Edmonton,Non-Official & Non-Aboriginal languages,Bengali,most_at_work,15
218,Vancouver,Non-Official & Non-Aboriginal languages,Bengali,most_at_home,1570
219,Vancouver,Non-Official & Non-Aboriginal languages,Bengali,most_at_work,15
220,Montréal,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_home,2220
221,Montréal,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_work,15
222,Toronto,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_home,30
223,Toronto,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_work,0
224,Calgary,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_home,35
225,Calgary,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_work,0
226,Edmonton,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_home,45
227,Edmonton,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_work,0
228,Vancouver,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_home,20
229,Vancouver,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",most_at_work,0
230,Montréal,Non-Official & Non-Aboriginal languages,Bikol,most_at_home,15
231,Montréal,Non-Official & Non-Aboriginal languages,Bikol,most_at_work,0
232,Toronto,Non-Official & Non-Aboriginal languages,Bikol,most_at_home,85
233,Toronto,Non-Official & Non-Aboriginal languages,Bikol,most_at_work,0
234,Calgary,Non-Official & Non-Aboriginal languages,Bikol,most_at_home,45
235,Calgary,Non-Official & Non-Aboriginal languages,Bikol,most_at_work,0
236,Edmonton,Non-Official & Non-Aboriginal languages,Bikol,most_at_home,15
237,Edmonton,Non-Official & Non-Aboriginal languages,Bikol,most_at_work,0
238,Vancouver,Non-Official & Non-Aboriginal languages,Bikol,most_at_home,65
239,Vancouver,Non-Official & Non-Aboriginal languages,Bikol,most_at_work,0
240,Montréal,Non-Official & Non-Aboriginal languages,Bilen,most_at_home,5
241,Montréal,Non-Official & Non-Aboriginal languages,Bilen,most_at_work,0
242,Toronto,Non-Official & Non-Aboriginal languages,Bilen,most_at_home,45
243,Toronto,Non-Official & Non-Aboriginal languages,Bilen,most_at_work,0
244,Calgary,Non-Official & Non-Aboriginal languages,Bilen,most_at_home,45
245,Calgary,Non-Official & Non-Aboriginal languages,Bilen,most_at_work,0
246,Edmonton,Non-Official & Non-Aboriginal languages,Bilen,most_at_home,210
247,Edmonton,Non-Official & Non-Aboriginal languages,Bilen,most_at_work,0
248,Vancouver,Non-Official & Non-Aboriginal languages,Bilen,most_at_home,5
249,Vancouver,Non-Official & Non-Aboriginal languages,Bilen,most_at_work,0
250,Montréal,Aboriginal languages,Blackfoot,most_at_home,0
251,Montréal,Aboriginal languages,Blackfoot,most_at_work,0
252,Toronto,Aboriginal languages,Blackfoot,most_at_home,0
253,Toronto,Aboriginal languages,Blackfoot,most_at_work,0
254,Calgary,Aboriginal languages,Blackfoot,most_at_home,60
255,Calgary,Aboriginal languages,Blackfoot,most_at_work,0
256,Edmonton,Aboriginal languages,Blackfoot,most_at_home,10
257,Edmonton,Aboriginal languages,Blackfoot,most_at_work,0
258,Vancouver,Aboriginal languages,Blackfoot,most_at_home,0
259,Vancouver,Aboriginal languages,Blackfoot,most_at_work,0
260,Montréal,Non-Official & Non-Aboriginal languages,Bosnian,most_at_home,260
261,Montréal,Non-Official & Non-Aboriginal languages,Bosnian,most_at_work,0
262,Toronto,Non-Official & Non-Aboriginal languages,Bosnian,most_at_home,1330
263,Toronto,Non-Official & Non-Aboriginal languages,Bosnian,most_at_work,45
264,Calgary,Non-Official & Non-Aboriginal languages,Bosnian,most_at_home,395
265,Calgary,Non-Official & Non-Aboriginal languages,Bosnian,most_at_work,15
266,Edmonton,Non-Official & Non-Aboriginal languages,Bosnian,most_at_home,305
267,Edmonton,Non-Official & Non-Aboriginal languages,Bosnian,most_at_work,10
268,Vancouver,Non-Official & Non-Aboriginal languages,Bosnian,most_at_home,545
269,Vancouver,Non-Official & Non-Aboriginal languages,Bosnian,most_at_work,0
270,Montréal,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_home,4750
271,Montréal,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_work,45
272,Toronto,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_home,3860
273,Toronto,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_work,110
274,Calgary,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_home,480
275,Calgary,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_work,0
276,Edmonton,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_home,290
277,Edmonton,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_work,0
278,Vancouver,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_home,925
279,Vancouver,Non-Official & Non-Aboriginal languages,Bulgarian,most_at_work,10
280,Montréal,Non-Official & Non-Aboriginal languages,Burmese,most_at_home,20
281,Montréal,Non-Official & Non-Aboriginal languages,Burmese,most_at_work,0
282,Toronto,Non-Official & Non-Aboriginal languages,Burmese,most_at_home,570
283,Toronto,Non-Official & Non-Aboriginal languages,Burmese,most_at_work,10
284,Calgary,Non-Official & Non-Aboriginal languages,Burmese,most_at_home,175
285,Calgary,Non-Official & Non-Aboriginal languages,Burmese,most_at_work,15
286,Edmonton,Non-Official & Non-Aboriginal languages,Burmese,most_at_home,100
287,Edmonton,Non-Official & Non-Aboriginal languages,Burmese,most_at_work,0
288,Vancouver,Non-Official & Non-Aboriginal languages,Burmese,most_at_home,690
289,Vancouver,Non-Official & Non-Aboriginal languages,Burmese,most_at_work,20
290,Montréal,Non-Official & Non-Aboriginal languages,Cantonese,most_at_home,17330
291,Montréal,Non-Official & Non-Aboriginal languages,Cantonese,most_at_work,2615
292,Toronto,Non-Official & Non-Aboriginal languages,Cantonese,most_at_home,182750
293,Toronto,Non-Official & Non-Aboriginal languages,Cantonese,most_at_work,25340
294,Calgary,Non-Official & Non-Aboriginal languages,Cantonese,most_at_home,22245
295,Calgary,Non-Official & Non-Aboriginal languages,Cantonese,most_at_work,2845
296,Edmonton,Non-Official & Non-Aboriginal languages,Cantonese,most_at_home,14695
297,Edmonton,Non-Official & Non-Aboriginal languages,Cantonese,most_at_work,1475
298,Vancouver,Non-Official & Non-Aboriginal languages,Cantonese,most_at_home,132185
299,Vancouver,Non-Official & Non-Aboriginal languages,Cantonese,most_at_work,22890
300,Montréal,Aboriginal languages,Carrier,most_at_home,0
301,Montréal,Aboriginal languages,Carrier,most_at_work,0
302,Toronto,Aboriginal languages,Carrier,most_at_home,0
303,Toronto,Aboriginal languages,Carrier,most_at_work,0
304,Calgary,Aboriginal languages,Carrier,most_at_home,0
305,Calgary,Aboriginal languages,Carrier,most_at_work,0
306,Edmonton,Aboriginal languages,Carrier,most_at_home,5
307,Edmonton,Aboriginal languages,Carrier,most_at_work,0
308,Vancouver,Aboriginal languages,Carrier,most_at_home,5
309,Vancouver,Aboriginal languages,Carrier,most_at_work,0
310,Montréal,Non-Official & Non-Aboriginal languages,Catalan,most_at_home,90
311,Montréal,Non-Official & Non-Aboriginal languages,Catalan,most_at_work,10
312,Toronto,Non-Official & Non-Aboriginal languages,Catalan,most_at_home,80
313,Toronto,Non-Official & Non-Aboriginal languages,Catalan,most_at_work,10
314,Calgary,Non-Official & Non-Aboriginal languages,Catalan,most_at_home,20
315,Calgary,Non-Official & Non-Aboriginal languages,Catalan,most_at_work,0
316,Edmonton,Non-Official & Non-Aboriginal languages,Catalan,most_at_home,10
317,Edmonton,Non-Official & Non-Aboriginal languages,Catalan,most_at_work,0
318,Vancouver,Non-Official & Non-Aboriginal languages,Catalan,most_at_home,60
319,Vancouver,Non-Official & Non-Aboriginal languages,Catalan,most_at_work,0
320,Montréal,Aboriginal languages,Cayuga,most_at_home,0
321,Montréal,Aboriginal languages,Cayuga,most_at_work,0
322,Toronto,Aboriginal languages,Cayuga,most_at_home,0
323,Toronto,Aboriginal languages,Cayuga,most_at_work,0
324,Calgary,Aboriginal languages,Cayuga,most_at_home,0
325,Calgary,Aboriginal languages,Cayuga,most_at_work,0
326,Edmonton,Aboriginal languages,Cayuga,most_at_home,0
327,Edmonton,Aboriginal languages,Cayuga,most_at_work,0
328,Vancouver,Aboriginal languages,Cayuga,most_at_home,0
329,Vancouver,Aboriginal languages,Cayuga,most_at_work,0
330,Montréal,Non-Official & Non-Aboriginal languages,Cebuano,most_at_home,215
331,Montréal,Non-Official & Non-Aboriginal languages,Cebuano,most_at_work,0
332,Toronto,Non-Official & Non-Aboriginal languages,Cebuano,most_at_home,1880
333,Toronto,Non-Official & Non-Aboriginal languages,Cebuano,most_at_work,25
334,Calgary,Non-Official & Non-Aboriginal languages,Cebuano,most_at_home,865
335,Calgary,Non-Official & Non-Aboriginal languages,Cebuano,most_at_work,0
336,Edmonton,Non-Official & Non-Aboriginal languages,Cebuano,most_at_home,810
337,Edmonton,Non-Official & Non-Aboriginal languages,Cebuano,most_at_work,0
338,Vancouver,Non-Official & Non-Aboriginal languages,Cebuano,most_at_home,1085
339,Vancouver,Non-Official & Non-Aboriginal languages,Cebuano,most_at_work,10
340,Montréal,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_home,15
341,Montréal,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_work,0
342,Toronto,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_home,25
343,Toronto,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_work,10
344,Calgary,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_home,5
345,Calgary,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_work,0
346,Edmonton,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_home,5
347,Edmonton,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_work,0
348,Vancouver,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_home,5
349,Vancouver,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",most_at_work,0
