,region,category,language,most_at_home,most_at_work
107,Calgary,Non-Official & Non-Aboriginal languages,Fijian,20,0
108,Calgary,Non-Official & Non-Aboriginal languages,Finnish,50,0
109,Calgary,Non-Official & Non-Aboriginal languages,Frisian,5,0
110,Calgary,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",45,0
111,Calgary,Non-Official & Non-Aboriginal languages,Ga,20,0
112,Calgary,Non-Official & Non-Aboriginal languages,Ganda,5,0
113,Calgary,Non-Official & Non-Aboriginal languages,Georgian,80,0
114,Calgary,Non-Official & Non-Aboriginal languages,German,1540,75
115,Calgary,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",5,0
116,Calgary,Non-Official & Non-Aboriginal languages,Greek,500,10
117,Calgary,Non-Official & Non-Aboriginal languages,Gujarati,3125,20
118,Calgary,Non-Official & Non-Aboriginal languages,Haitian Creole,5,0
119,Calgary,Non-Official & Non-Aboriginal languages,Hakka,95,0
120,Calgary,Non-Official & Non-Aboriginal languages,Harari,45,0
121,Calgary,Non-Official & Non-Aboriginal languages,Hebrew,260,25
122,Calgary,Non-Official & Non-Aboriginal languages,Hiligaynon,205,10
123,Calgary,Non-Official & Non-Aboriginal languages,Hindi,4130,105
124,Calgary,Non-Official & Non-Aboriginal languages,Hmong-Mien languages,60,0
125,Calgary,Non-Official & Non-Aboriginal languages,Hungarian,1310,55
126,Calgary,Non-Official & Non-Aboriginal languages,Icelandic,15,0
127,Calgary,Non-Official & Non-Aboriginal languages,Igbo,135,0
128,Calgary,Non-Official & Non-Aboriginal languages,Ilocano,1025,15
129,Calgary,Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",505,10
130,Calgary,Non-Official & Non-Aboriginal languages,Italian,1270,10
131,Calgary,Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",0,0
132,Calgary,Non-Official & Non-Aboriginal languages,Japanese,1105,90
133,Calgary,Non-Official & Non-Aboriginal languages,Kabyle,30,0
134,Calgary,Non-Official & Non-Aboriginal languages,Kannada,115,0
135,Calgary,Non-Official & Non-Aboriginal languages,Karenic languages,235,15
136,Calgary,Non-Official & Non-Aboriginal languages,Kashmiri,50,0
137,Calgary,Non-Official & Non-Aboriginal languages,Khmer (Cambodian),440,0
138,Calgary,Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),25,0
139,Calgary,Non-Official & Non-Aboriginal languages,Konkani,35,0
140,Calgary,Non-Official & Non-Aboriginal languages,Korean,6565,495
141,Calgary,Non-Official & Non-Aboriginal languages,Kurdish,460,0
142,Calgary,Non-Official & Non-Aboriginal languages,Lao,185,0
143,Calgary,Non-Official & Non-Aboriginal languages,Latvian,85,0
144,Calgary,Non-Official & Non-Aboriginal languages,Lingala,25,0
145,Calgary,Non-Official & Non-Aboriginal languages,Lithuanian,155,0
146,Calgary,Non-Official & Non-Aboriginal languages,Macedonian,80,0
147,Calgary,Non-Official & Non-Aboriginal languages,Malagasy,10,0
148,Calgary,Non-Official & Non-Aboriginal languages,Malay,235,0
149,Calgary,Non-Official & Non-Aboriginal languages,Malayalam,1295,0
150,Calgary,Non-Official & Non-Aboriginal languages,Maltese,5,0
151,Calgary,Non-Official & Non-Aboriginal languages,Mandarin,21140,1385
152,Calgary,Non-Official & Non-Aboriginal languages,Marathi,440,0
153,Calgary,Non-Official & Non-Aboriginal languages,Min Dong,10,0
154,Calgary,Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",675,15
155,Calgary,Non-Official & Non-Aboriginal languages,Mongolian,280,0
156,Calgary,Non-Official & Non-Aboriginal languages,Nepali,1335,25
157,Calgary,Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",280,0
158,Calgary,Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",470,0
159,Calgary,Non-Official & Non-Aboriginal languages,Norwegian,25,0
160,Calgary,Non-Official & Non-Aboriginal languages,Oriya (Odia),50,0
161,Calgary,Non-Official & Non-Aboriginal languages,Oromo,710,0
162,Calgary,Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",110,0
163,Calgary,Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",65,0
164,Calgary,Non-Official & Non-Aboriginal languages,Pangasinan,20,0
165,Calgary,Non-Official & Non-Aboriginal languages,Pashto,1055,15
166,Calgary,Non-Official & Non-Aboriginal languages,Persian (Farsi),6480,120
167,Calgary,Non-Official & Non-Aboriginal languages,Polish,3275,100
168,Calgary,Non-Official & Non-Aboriginal languages,Portuguese,1770,95
169,Calgary,Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),29100,1455
170,Calgary,Non-Official & Non-Aboriginal languages,Quebec Sign Language,0,0
171,Calgary,Non-Official & Non-Aboriginal languages,Romanian,2475,55
172,Calgary,Non-Official & Non-Aboriginal languages,Rundi (Kirundi),65,0
173,Calgary,Non-Official & Non-Aboriginal languages,Russian,5785,160
174,Calgary,Non-Official & Non-Aboriginal languages,Scottish Gaelic,5,0
175,Calgary,Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",150,0
176,Calgary,Non-Official & Non-Aboriginal languages,Serbian,945,10
177,Calgary,Non-Official & Non-Aboriginal languages,Serbo-Croatian,180,0
178,Calgary,Non-Official & Non-Aboriginal languages,Shona,95,0
179,Calgary,Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",250,35
180,Calgary,Non-Official & Non-Aboriginal languages,Sindhi,745,10
181,Calgary,Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),485,10
182,Calgary,Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",15,0
183,Calgary,Non-Official & Non-Aboriginal languages,Slovak,465,0
184,Calgary,Non-Official & Non-Aboriginal languages,Slovene (Slovenian),40,0
185,Calgary,Non-Official & Non-Aboriginal languages,Somali,890,10
186,Calgary,Non-Official & Non-Aboriginal languages,Spanish,17540,725
187,Calgary,Non-Official & Non-Aboriginal languages,Swahili,350,20
188,Calgary,Non-Official & Non-Aboriginal languages,Swedish,50,0
189,Calgary,Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",23010,305
190,Calgary,Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",5,0
191,Calgary,Non-Official & Non-Aboriginal languages,Tamil,1190,20
192,Calgary,Non-Official & Non-Aboriginal languages,Telugu,560,0
193,Calgary,Non-Official & Non-Aboriginal languages,Thai,230,25
194,Calgary,Non-Official & Non-Aboriginal languages,Tibetan,395,10
195,Calgary,Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",75,0
196,Calgary,Non-Official & Non-Aboriginal languages,Tigrigna,2050,15
197,Calgary,Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",45,0
198,Calgary,Non-Official & Non-Aboriginal languages,Turkish,755,25
199,Calgary,Non-Official & Non-Aboriginal languages,Ukrainian,790,20
200,Calgary,Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",5,0
201,Calgary,Non-Official & Non-Aboriginal languages,Urdu,11060,105
202,Calgary,Non-Official & Non-Aboriginal languages,Uyghur,45,0
203,Calgary,Non-Official & Non-Aboriginal languages,Uzbek,55,0
204,Calgary,Non-Official & Non-Aboriginal languages,Vietnamese,8925,835
205,Calgary,Non-Official & Non-Aboriginal languages,Vlaams (Flemish),10,0
206,Calgary,Non-Official & Non-Aboriginal languages,Waray-Waray,50,0
207,Calgary,Non-Official & Non-Aboriginal languages,Welsh,5,0
208,Calgary,Non-Official & Non-Aboriginal languages,Wolof,65,0
209,Calgary,Non-Official & Non-Aboriginal languages,Wu (Shanghainese),210,0
210,Calgary,Non-Official & Non-Aboriginal languages,Yiddish,10,0
211,Calgary,Non-Official & Non-Aboriginal languages,Yoruba,350,0
212,Calgary,Official languages,English,1065070,844740
213,Calgary,Official languages,French,8630,2140
214,Edmonton,Aboriginal languages,"Aboriginal languages, n.o.s.",10,0
215,Edmonton,Aboriginal languages,"Algonquian languages, n.i.e.",0,0
216,Edmonton,Aboriginal languages,Algonquin,0,0
217,Edmonton,Aboriginal languages,"Athabaskan languages, n.i.e.",0,0
218,Edmonton,Aboriginal languages,Atikamekw,0,0
219,Edmonton,Aboriginal languages,Babine (Wetsuwet'en),0,0
220,Edmonton,Aboriginal languages,Beaver,0,0
221,Edmonton,Aboriginal languages,Blackfoot,10,0
222,Edmonton,Aboriginal languages,Carrier,5,0
223,Edmonton,Aboriginal languages,Cayuga,0,0
224,Edmonton,Aboriginal languages,Chilcotin,0,0
225,Edmonton,Aboriginal languages,Comox,0,0
226,Edmonton,Aboriginal languages,"Cree, n.o.s.",330,10
227,Edmonton,Aboriginal languages,Dakota,20,0
228,Edmonton,Aboriginal languages,Dene,10,0
229,Edmonton,Aboriginal languages,Dogrib (Tlicho),0,0
230,Edmonton,Aboriginal languages,Gitxsan (Gitksan),0,0
231,Edmonton,Aboriginal languages,Gwich'in,0,0
232,Edmonton,Aboriginal languages,Haida,0,0
233,Edmonton,Aboriginal languages,Haisla,0,0
234,Edmonton,Aboriginal languages,Halkomelem,0,0
235,Edmonton,Aboriginal languages,Heiltsuk,0,0
236,Edmonton,Aboriginal languages,Inuinnaqtun (Inuvialuktun),0,0
237,Edmonton,Aboriginal languages,"Inuit languages, n.i.e.",5,0
238,Edmonton,Aboriginal languages,Inuktitut,5,0
239,Edmonton,Aboriginal languages,"Iroquoian languages, n.i.e.",0,0
240,Edmonton,Aboriginal languages,Kaska (Nahani),0,0
241,Edmonton,Aboriginal languages,Kutenai,0,0
242,Edmonton,Aboriginal languages,Kwakiutl (Kwak'wala),0,0
243,Edmonton,Aboriginal languages,Lillooet,0,0
244,Edmonton,Aboriginal languages,Malecite,0,0
245,Edmonton,Aboriginal languages,Mi'kmaq,0,0
246,Edmonton,Aboriginal languages,Michif,0,0
247,Edmonton,Aboriginal languages,Mohawk,0,0
248,Edmonton,Aboriginal languages,Montagnais (Innu),0,0
249,Edmonton,Aboriginal languages,Moose Cree,0,0
250,Edmonton,Aboriginal languages,Naskapi,0,0
251,Edmonton,Aboriginal languages,Nisga'a,0,0
252,Edmonton,Aboriginal languages,North Slavey (Hare),0,0
253,Edmonton,Aboriginal languages,Northern East Cree,15,0
254,Edmonton,Aboriginal languages,Northern Tutchone,0,0
255,Edmonton,Aboriginal languages,Nuu-chah-nulth (Nootka),0,0
256,Edmonton,Aboriginal languages,Oji-Cree,0,0
257,Edmonton,Aboriginal languages,Ojibway,20,0
258,Edmonton,Aboriginal languages,Okanagan,0,0
259,Edmonton,Aboriginal languages,Oneida,0,0
260,Edmonton,Aboriginal languages,Ottawa (Odawa),0,0
261,Edmonton,Aboriginal languages,Plains Cree,55,0
262,Edmonton,Aboriginal languages,"Salish languages, n.i.e.",0,0
263,Edmonton,Aboriginal languages,Sarsi (Sarcee),0,0
264,Edmonton,Aboriginal languages,Sekani,0,0
265,Edmonton,Aboriginal languages,Shuswap (Secwepemctsin),0,0
266,Edmonton,Aboriginal languages,"Siouan languages, n.i.e.",0,0
267,Edmonton,Aboriginal languages,"Slavey, n.o.s.",0,0
268,Edmonton,Aboriginal languages,South Slavey,5,0
269,Edmonton,Aboriginal languages,Southern East Cree,0,0
270,Edmonton,Aboriginal languages,Southern Tutchone,0,0
271,Edmonton,Aboriginal languages,Squamish,0,0
272,Edmonton,Aboriginal languages,Stoney,25,0
273,Edmonton,Aboriginal languages,Straits,0,0
274,Edmonton,Aboriginal languages,Swampy Cree,0,0
275,Edmonton,Aboriginal languages,Tahltan,0,0
276,Edmonton,Aboriginal languages,Thompson (Ntlakapamux),0,0
277,Edmonton,Aboriginal languages,Tlingit,0,0
278,Edmonton,Aboriginal languages,Tsimshian,0,0
279,Edmonton,Aboriginal languages,"Wakashan languages, n.i.e.",0,0
280,Edmonton,Aboriginal languages,Woods Cree,20,0
281,Edmonton,Non-Official & Non-Aboriginal languages,Afrikaans,300,0
282,Edmonton,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",20,0
283,Edmonton,Non-Official & Non-Aboriginal languages,Akan (Twi),445,0
284,Edmonton,Non-Official & Non-Aboriginal languages,Albanian,370,10
285,Edmonton,Non-Official & Non-Aboriginal languages,American Sign Language,190,85
286,Edmonton,Non-Official & Non-Aboriginal languages,Amharic,1695,35
287,Edmonton,Non-Official & Non-Aboriginal languages,Arabic,10590,325
288,Edmonton,Non-Official & Non-Aboriginal languages,Armenian,75,0
289,Edmonton,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,40,0
290,Edmonton,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",0,0
291,Edmonton,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",85,0
292,Edmonton,Non-Official & Non-Aboriginal languages,Azerbaijani,50,0
293,Edmonton,Non-Official & Non-Aboriginal languages,Bamanankan,0,0
294,Edmonton,Non-Official & Non-Aboriginal languages,Belarusan,10,0
295,Edmonton,Non-Official & Non-Aboriginal languages,Bengali,1460,15
296,Edmonton,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",45,0
297,Edmonton,Non-Official & Non-Aboriginal languages,Bikol,15,0
298,Edmonton,Non-Official & Non-Aboriginal languages,Bilen,210,0
299,Edmonton,Non-Official & Non-Aboriginal languages,Bosnian,305,10
300,Edmonton,Non-Official & Non-Aboriginal languages,Bulgarian,290,0
301,Edmonton,Non-Official & Non-Aboriginal languages,Burmese,100,0
302,Edmonton,Non-Official & Non-Aboriginal languages,Cantonese,14695,1475
303,Edmonton,Non-Official & Non-Aboriginal languages,Catalan,10,0
304,Edmonton,Non-Official & Non-Aboriginal languages,Cebuano,810,0
305,Edmonton,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",5,0
306,Edmonton,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,15,0
307,Edmonton,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",10,0
308,Edmonton,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",1440,95
309,Edmonton,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",145,0
310,Edmonton,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",380,0
311,Edmonton,Non-Official & Non-Aboriginal languages,Croatian,895,0
312,Edmonton,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",10,0
313,Edmonton,Non-Official & Non-Aboriginal languages,Czech,255,0
314,Edmonton,Non-Official & Non-Aboriginal languages,Danish,45,0
315,Edmonton,Non-Official & Non-Aboriginal languages,Dinka,205,0
316,Edmonton,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",10,0
317,Edmonton,Non-Official & Non-Aboriginal languages,Dutch,275,20
318,Edmonton,Non-Official & Non-Aboriginal languages,Edo,35,0
319,Edmonton,Non-Official & Non-Aboriginal languages,Estonian,5,0
320,Edmonton,Non-Official & Non-Aboriginal languages,Ewe,40,0
321,Edmonton,Non-Official & Non-Aboriginal languages,Fijian,25,0
322,Edmonton,Non-Official & Non-Aboriginal languages,Finnish,30,0
323,Edmonton,Non-Official & Non-Aboriginal languages,Frisian,5,0
324,Edmonton,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",55,0
325,Edmonton,Non-Official & Non-Aboriginal languages,Ga,15,0
326,Edmonton,Non-Official & Non-Aboriginal languages,Ganda,80,0
327,Edmonton,Non-Official & Non-Aboriginal languages,Georgian,55,0
328,Edmonton,Non-Official & Non-Aboriginal languages,German,2315,65
329,Edmonton,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",5,0
330,Edmonton,Non-Official & Non-Aboriginal languages,Greek,375,0
331,Edmonton,Non-Official & Non-Aboriginal languages,Gujarati,3650,60
332,Edmonton,Non-Official & Non-Aboriginal languages,Haitian Creole,40,0
333,Edmonton,Non-Official & Non-Aboriginal languages,Hakka,215,10
334,Edmonton,Non-Official & Non-Aboriginal languages,Harari,110,0
335,Edmonton,Non-Official & Non-Aboriginal languages,Hebrew,190,20
336,Edmonton,Non-Official & Non-Aboriginal languages,Hiligaynon,195,10
337,Edmonton,Non-Official & Non-Aboriginal languages,Hindi,5095,105
338,Edmonton,Non-Official & Non-Aboriginal languages,Hmong-Mien languages,10,0
339,Edmonton,Non-Official & Non-Aboriginal languages,Hungarian,475,15
340,Edmonton,Non-Official & Non-Aboriginal languages,Icelandic,15,0
341,Edmonton,Non-Official & Non-Aboriginal languages,Igbo,80,0
342,Edmonton,Non-Official & Non-Aboriginal languages,Ilocano,605,15
343,Edmonton,Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",115,0
344,Edmonton,Non-Official & Non-Aboriginal languages,Italian,1405,15
345,Edmonton,Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",5,0
346,Edmonton,Non-Official & Non-Aboriginal languages,Japanese,480,35
347,Edmonton,Non-Official & Non-Aboriginal languages,Kabyle,50,0
348,Edmonton,Non-Official & Non-Aboriginal languages,Kannada,80,0
349,Edmonton,Non-Official & Non-Aboriginal languages,Karenic languages,360,10
350,Edmonton,Non-Official & Non-Aboriginal languages,Kashmiri,0,0
351,Edmonton,Non-Official & Non-Aboriginal languages,Khmer (Cambodian),385,10
352,Edmonton,Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),285,0
353,Edmonton,Non-Official & Non-Aboriginal languages,Konkani,35,0
354,Edmonton,Non-Official & Non-Aboriginal languages,Korean,4565,260
355,Edmonton,Non-Official & Non-Aboriginal languages,Kurdish,375,15
356,Edmonton,Non-Official & Non-Aboriginal languages,Lao,190,0
357,Edmonton,Non-Official & Non-Aboriginal languages,Latvian,55,0
358,Edmonton,Non-Official & Non-Aboriginal languages,Lingala,45,0
359,Edmonton,Non-Official & Non-Aboriginal languages,Lithuanian,70,0
360,Edmonton,Non-Official & Non-Aboriginal languages,Macedonian,90,10
361,Edmonton,Non-Official & Non-Aboriginal languages,Malagasy,10,0
362,Edmonton,Non-Official & Non-Aboriginal languages,Malay,135,0
363,Edmonton,Non-Official & Non-Aboriginal languages,Malayalam,2330,10
364,Edmonton,Non-Official & Non-Aboriginal languages,Maltese,10,0
365,Edmonton,Non-Official & Non-Aboriginal languages,Mandarin,14725,710
366,Edmonton,Non-Official & Non-Aboriginal languages,Marathi,335,0
367,Edmonton,Non-Official & Non-Aboriginal languages,Min Dong,15,0
368,Edmonton,Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",555,20
369,Edmonton,Non-Official & Non-Aboriginal languages,Mongolian,45,0
370,Edmonton,Non-Official & Non-Aboriginal languages,Nepali,1395,10
371,Edmonton,Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",495,0
372,Edmonton,Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",165,0
373,Edmonton,Non-Official & Non-Aboriginal languages,Norwegian,15,0
374,Edmonton,Non-Official & Non-Aboriginal languages,Oriya (Odia),35,0
375,Edmonton,Non-Official & Non-Aboriginal languages,Oromo,885,10
376,Edmonton,Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",75,10
377,Edmonton,Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",130,0
378,Edmonton,Non-Official & Non-Aboriginal languages,Pangasinan,25,0
379,Edmonton,Non-Official & Non-Aboriginal languages,Pashto,430,0
380,Edmonton,Non-Official & Non-Aboriginal languages,Persian (Farsi),3220,55
381,Edmonton,Non-Official & Non-Aboriginal languages,Polish,3805,120
382,Edmonton,Non-Official & Non-Aboriginal languages,Portuguese,1915,45
383,Edmonton,Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),20650,975
384,Edmonton,Non-Official & Non-Aboriginal languages,Quebec Sign Language,0,0
385,Edmonton,Non-Official & Non-Aboriginal languages,Romanian,1360,0
386,Edmonton,Non-Official & Non-Aboriginal languages,Rundi (Kirundi),195,0
387,Edmonton,Non-Official & Non-Aboriginal languages,Russian,3260,75
388,Edmonton,Non-Official & Non-Aboriginal languages,Scottish Gaelic,5,0
389,Edmonton,Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",55,50
390,Edmonton,Non-Official & Non-Aboriginal languages,Serbian,1005,10
391,Edmonton,Non-Official & Non-Aboriginal languages,Serbo-Croatian,120,0
392,Edmonton,Non-Official & Non-Aboriginal languages,Shona,215,0
393,Edmonton,Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",285,45
394,Edmonton,Non-Official & Non-Aboriginal languages,Sindhi,460,0
395,Edmonton,Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),780,0
396,Edmonton,Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",25,0
397,Edmonton,Non-Official & Non-Aboriginal languages,Slovak,170,15
